,Date,High
0,2006-01-03,41.22
1,2006-01-04,41.9
2,2006-01-05,41.73
3,2006-01-06,43.57
4,2006-01-09,43.66
5,2006-01-10,43.34
6,2006-01-11,42.31
7,2006-01-12,41.99
8,2006-01-13,41.08
9,2006-01-17,40.39
10,2006-01-18,36.16
11,2006-01-19,35.84
12,2006-01-20,34.66
13,2006-01-23,34.4
14,2006-01-24,35.2
15,2006-01-25,35.48
16,2006-01-26,35.25
17,2006-01-27,35.27
18,2006-01-30,35.23
19,2006-01-31,35.2
20,2006-02-01,35.0
21,2006-02-02,35.1
22,2006-02-03,34.05
23,2006-02-06,33.95
24,2006-02-07,33.1
25,2006-02-08,33.4
26,2006-02-09,33.36
27,2006-02-10,32.6
28,2006-02-13,32.44
29,2006-02-14,32.83
30,2006-02-15,33.33
31,2006-02-16,33.4
32,2006-02-17,33.14
33,2006-02-21,33.07
34,2006-02-22,33.34
35,2006-02-23,33.66
36,2006-02-24,33.34
37,2006-02-27,33.21
38,2006-02-28,32.98
39,2006-03-01,32.42
40,2006-03-02,32.11
41,2006-03-03,32.07
42,2006-03-06,31.94
43,2006-03-07,32.2
44,2006-03-08,31.55
45,2006-03-09,31.32
46,2006-03-10,31.1
47,2006-03-13,30.97
48,2006-03-14,31.0
49,2006-03-15,31.28
50,2006-03-16,30.88
51,2006-03-17,30.36
52,2006-03-20,30.93
53,2006-03-21,30.78
54,2006-03-22,30.91
55,2006-03-23,31.95
56,2006-03-24,32.31
57,2006-03-27,32.08
58,2006-03-28,32.5
59,2006-03-29,32.91
60,2006-03-30,32.83
61,2006-03-31,32.63
62,2006-04-03,32.53
63,2006-04-04,32.25
64,2006-04-05,32.5
65,2006-04-06,33.14
66,2006-04-07,32.97
67,2006-04-10,32.63
68,2006-04-11,32.6
69,2006-04-12,31.5
70,2006-04-13,31.4
71,2006-04-17,31.79
72,2006-04-18,31.38
73,2006-04-19,33.98
74,2006-04-20,33.7
75,2006-04-21,34.09
76,2006-04-24,33.45
77,2006-04-25,33.06
78,2006-04-26,33.09
79,2006-04-27,33.5
80,2006-04-28,33.45
81,2006-05-01,33.1
82,2006-05-02,32.91
83,2006-05-03,33.0
84,2006-05-04,32.56
85,2006-05-05,32.75
86,2006-05-08,33.43
87,2006-05-09,34.0
88,2006-05-10,32.56
89,2006-05-11,32.17
90,2006-05-12,31.18
91,2006-05-15,31.25
92,2006-05-16,31.22
93,2006-05-17,31.26
94,2006-05-18,30.36
95,2006-05-19,29.75
96,2006-05-22,30.98
97,2006-05-23,31.63
